N,Name,HEX,R,G,B
1,MediumVioletRed,C71585,199,21,133
2,DeepPink,FF1493,255,20,147
3,PaleVioletRed,DB7093,219,112,147
4,HotPink,FF69B4,255,105,180
5,LightPink,FFB6C1,255,182,193
6,Pink,FFC0CB,255,192,203
7,DarkRed,8B0000,139,0,0
8,Red,FF0000,255,0,0
9,Firebrick,B22222,178,34,34
10,Crimson,DC143C,220,20,60
11,IndianRed,CD5C5C,205,92,92
12,LightCoral,F08080,240,128,128
13,Salmon,FA8072,250,128,114
14,DarkSalmon,E9967A,233,150,122
15,LightSalmon,FFA07A,255,160,122
16,OrangeRed,FF4500,255,69,0
17,Tomato,FF6347,255,99,71
18,DarkOrange,FF8C00,255,140,0
19,Coral,FF7F50,255,127,80
20,Orange,FFA500,255,165,0
21,DarkKhaki,BDB76B,189,183,107
22,Gold,FFD700,255,215,0
23,Khaki,F0E68C,240,230,140
24,PeachPuff,FFDAB9,255,218,185
25,Yellow,FFFF00,255,255,0
26,PaleGoldenrod,EEE8AA,238,232,170
27,Moccasin,FFE4B5,255,228,181
28,PapayaWhip,FFEFD5,255,239,213
29,LightGoldenrodYellow,FAFAD2,250,250,210
30,LemonChiffon,FFFACD,255,250,205
31,LightYellow,FFFFE0,255,255,224
32,Maroon,800000,128,0,0
33,Brown,A52A2A,165,42,42
34,SaddleBrown,8B4513,139,69,19
35,Sienna,A0522D,160,82,45
36,Chocolate,D2691E,210,105,30
37,DarkGoldenrod,B8860B,184,134,11
38,Peru,CD853F,205,133,63
39,RosyBrown,BC8F8F,188,143,143
40,Goldenrod,DAA520,218,165,32
41,SandyBrown,F4A460,244,164,96
42,Tan,D2B48C,210,180,140
43,Burlywood,DEB887,222,184,135
44,Wheat,F5DEB3,245,222,179
45,NavajoWhite,FFDEAD,255,222,173
46,Bisque,FFE4C4,255,228,196
47,BlanchedAlmond,FFEBCD,255,235,205
48,Cornsilk,FFF8DC,255,248,220
49,Indigo,4B0082,75,0,130
50,Purple,800080,128,0,128
51,DarkMagenta,8B008B,139,0,139
52,DarkViolet,9400D3,148,0,211
53,DarkSlateBlue,483D8B,72,61,139
54,BlueViolet,8A2BE2,138,43,226
55,DarkOrchid,9932CC,153,50,204
56,Fuchsia,FF00FF,255,0,255
57,Magenta,FF00FF,255,0,255
58,SlateBlue,6A5ACD,106,90,205
59,MediumSlateBlue,7B68EE,123,104,238
60,MediumOrchid,BA55D3,186,85,211
61,MediumPurple,9370DB,147,112,219
62,Orchid,DA70D6,218,112,214
63,Violet,EE82EE,238,130,238
64,Plum,DDA0DD,221,160,221
65,Thistle,D8BFD8,216,191,216
66,Lavender,E6E6FA,230,230,250
67,MidnightBlue,191970,25,25,112
68,Navy,000080,0,0,128
69,DarkBlue,00008B,0,0,139
70,MediumBlue,0000CD,0,0,205
71,Blue,0000FF,0,0,255
72,RoyalBlue,4169E1,65,105,225
73,SteelBlue,4682B4,70,130,180
74,DodgerBlue,1E90FF,30,144,255
75,DeepSkyBlue,00BFFF,0,191,255
76,CornflowerBlue,6495ED,100,149,237
77,SkyBlue,87CEEB,135,206,235
78,LightSkyBlue,87CEFA,135,206,250
79,LightSteelBlue,B0C4DE,176,196,222
